source,prepared_image,caption
training/Achillesmon vpet vb.png,datasets/vpet_lora/train/00001_Achillesmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, achillesmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Aegisdramon vpet vb.png,datasets/vpet_lora/train/00002_Aegisdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, aegisdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Aerovdramon vpet vb.png,datasets/vpet_lora/train/00003_Aerovdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, aerovdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Agnimon vpet vb.png,datasets/vpet_lora/train/00004_Agnimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, agnimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Agumon black vpet vb.png,datasets/vpet_lora/train/00005_Agumon black vpet vb.png,"vpet_style, vpet_left_pose, digimon, agumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Agumon vpet vb.png,datasets/vpet_lora/train/00006_Agumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, agumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Agumon2006 vpet vb.png,datasets/vpet_lora/train/00007_Agumon2006 vpet vb.png,"vpet_style, vpet_left_pose, digimon, agumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Airdramon vpet vb.png,datasets/vpet_lora/train/00008_Airdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, airdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ajatarmon vpet vb.png,datasets/vpet_lora/train/00009_Ajatarmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ajatarmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Aldamon vpet vb.png,datasets/vpet_lora/train/00010_Aldamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, aldamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Algomon adult vpet vb.png,datasets/vpet_lora/train/00011_Algomon adult vpet vb.png,"vpet_style, vpet_left_pose, digimon, algomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Alphamon ouryuken vpet vb.png,datasets/vpet_lora/train/00012_Alphamon ouryuken vpet vb.png,"vpet_style, vpet_left_pose, digimon, alphamon ouryuken, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Alphamon vpet vb.png,datasets/vpet_lora/train/00013_Alphamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, alphamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Amphimon vpet vb.png,datasets/vpet_lora/train/00014_Amphimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, amphimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ancientbeatmon vpet vb.png,datasets/vpet_lora/train/00015_Ancientbeatmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ancientbeatmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ancientgarurumon vpet vb.png,datasets/vpet_lora/train/00016_Ancientgarurumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ancientgarurumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ancientgreymon vpet vb.png,datasets/vpet_lora/train/00017_Ancientgreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ancientgreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ancientmegatheriumon vpet vb.png,datasets/vpet_lora/train/00018_Ancientmegatheriumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ancientmegatheriumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ancientmermaimon vpet vb.png,datasets/vpet_lora/train/00019_Ancientmermaimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ancientmermaimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ancientsphinxmon vpet vb.png,datasets/vpet_lora/train/00020_Ancientsphinxmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ancientsphinxmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ancienttroiamon vpet vb.png,datasets/vpet_lora/train/00021_Ancienttroiamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ancienttroiamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
